StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
2,South Lake B,04/12/06,1055,U,2,39.2,16.2,13,0.61,,1.41,0.5,0
2,South Lake B,05/02/06,1050,U,2.2,36.8,14.8,17.5,0.45,13.7,9.67,1.1,0
2,South Lake B,05/25/06,1100,U,2,50.1,27.4,12.1,0.55,14.5,2.04,0.7,0
2,South Lake B,06/08/06,1250,U,2,62.6,33.6,11.9,0.6,,2.54,0.8,
2,South Lake B,06/08/06,1105,U,2,59.6,32.6,12,0.65,17.7,4.13,0.6,0
2,South Lake B,06/30/06,1050,U,1.2,77.3,47.9,10.5,0.62,22.5,1.74,0.6,0
2,South Lake B,07/13/06,1300,U,2.8,59.8,27,12.2,0.49,,3.91,1.4,
2,South Lake B,07/24/06,1110,U,2,107,49.9,10.6,0.87,21.4,2.17,0.2,741000
2,South Lake B,07/31/06,1232,U,2,56.8,32.9,13.7,0.61,,2.77,0.7,
2,South Lake B,08/03/06,1100,U,2,60.5,29,12.7,0.65,25.2,11.3,1,1.11E+06
2,South Lake B,08/11/06,1120,U,2,43.7,14.4,14.1,0.38,24.2,14,0.8,0
2,South Lake B,08/16/06,1215,U,2.6,41.2,10.5,14.8,0.34,,10.7,1.3,
2,South Lake B,08/29/06,1205,U,COM,39.9,13.5,20.8,0.4,,,1.1,
2,South Lake B,08/31/06,1115,U,2,48.3,20,22.3,0.41,20.7,8.58,0.6,2.50E+06
2,South Lake B,09/15/06,1130,U,2,37.4,11.8,21.5,0.36,,7.37,1,
2,South Lake B,09/18/06,1055,U,2,42.1,16,22.1,0.51,19.4,10.9,1,0
2,South Lake B,09/27/06,1120,U,2,43.8,17.8,24.3,0.46,17.5,6.08,0.6,0
2,South Lake B,09/29/06,1045,U,2,44.5,10.9,23.4,0.41,,10.9,1,
2,South Lake B,10/16/06,1120,U,2,38.1,20,22.6,0.5,11.7,3.82,0.7,0
2,South Lake B,05/01/07,1100,U,2,30.8,12.3,11.3,0.62,12.5,8.52,0.9,0
2,South Lake B,05/14/07,1125,U,2,44.8,11.9,14.9,0.46,17.2,16.5,1,0
2,South Lake B,05/25/07,1100,U,2.5,30.4,8.2,14.8,0.5,,11.4,1.3,
2,South Lake B,05/25/07,1050,U,2,31.4,10,15.3,0.44,19.6,15.7,1.2,0
2,South Lake B,06/07/07,1330,U,2,54.6,26.8,18,0.75,,3.38,0.9,
2,South Lake B,06/12/07,1115,U,2,51.3,17,19.6,0.51,22.8,34.1,0.9,0
2,South Lake B,06/18/07,1100,U,1.7,47.8,12.4,17.6,0.54,,4.22,0.9,
2,South Lake B,06/27/07,1120,U,2,48.9,21.2,18.6,0.46,24.9,10.4,1,0
